"","latitude","longitude","Postal address","Postcode","Industry/Sectors","Premises Name"
"Ealing Disability Assessment Centre","51.51","-0.32","3rd Floor, Broadway House, Uxbridge Road, Ealing, London","W13 8RA","Privatisation, Welfare","Ealing Disability Assessment Centre"
"Highgate Disability Assessment Centre","51.57","-0.13","1st Floor, 1 Elthorne Road, Upper Holloway, London","N19 4AL","Privatisation, Welfare","Highgate Disability Assessment Centre"
"Luton Disability Assessment Centre","51.88","-0.42","6th Floor, Cresta House, Alma Street, Luton, Bedfordshire","LU1 2PU","Privatisation, Welfare","Luton Disability Assessment Centre"
"Marleybone Disability Assessment Centre","51.52","-0.17","Tresco House, 65 Lisson Grove, Marylebone","NW1 6UH","Privatisation, Welfare","Marleybone Disability Assessment Centre"
"Neasden Disability Assessment Centre","51.55","-0.25","2nd Floor, Chancel House (Entrance B), Neasden Lane, Neasden, London","NW10 2TU","Privatisation, Welfare","Neasden Disability Assessment Centre"
"Romford Disability Assessment Centre","51.58","0.19","2nd Floor East, Blackburn House, 22-26 Eastern Road, Romford, Essex","RM1 3PJ","Privatisation, Welfare","Romford Disability Assessment Centre"
"Southend Disability Assessment Centre","51.55","0.70","11 Prittlewell Chase, Westcliff on Sea, Essex","SS0 0RX","Privatisation, Welfare","Southend Disability Assessment Centre"
"Wimbledon Disability Assessment Centre","51.42","-0.20","The Quadrant, 213-217 The Broadway, Wimbledon, London","SW19 1NL","Privatisation, Welfare","Wimbledon Disability Assessment Centre"
"Ministry of Defence","51.51","-0.13","Main Building, Whitehall, London","SW1A 2HB","Privatisation, Defence","Ministry of Defence"
"United Kingdom Hydrographic Office","51.02","-3.08","Admiralty Way, Taunton Somerset","TA1 2DN","Privatisation, Defence","United Kingdom Hydrographic Office"
"Department of Health","51.50","-0.13","Richmond House, 79 Whitehall, London","SW1A 2NS","Privatisation, Healthcare","Department of Health"
"HM Revenue and Customs","51.53","-0.14","Euston Tower, 286 Euston Road, London","NW1 3UL","Privatisation","HM Revenue and Customs"
"Government Gateway","51.50","-0.13","10 Downing Street, London","SW1A 2AA","Privatisation, Welfare","Government Gateway"
"Skills Development Scotland","55.86","-4.26","Alhambra House, 45 Waterloo Street, Glasgow","G2 6HS","Privatisation, Welfare","Skills Development Scotland"
"Boston Disability Assessment Centre","52.98","-0.03","Crown Buildings, Lincoln Lane, Boston, Lincs","PE21 8SJ","Privatisation, Welfare","Boston Disability Assessment Centre"
"Cambridge Disability Assessment Centre","52.21","0.12","Henry Giles House, 1st Floor, 73-79 Chesterton Road, Cambridge","CB4 3BQ","Privatisation, Welfare","Cambridge Disability Assessment Centre"
"Chelmsford Disability Assessment Centre","51.73","0.45","Government Buildings, Beeches Road (main entrance), Chelmsford, Essex","CM1 2RT","Privatisation, Welfare","Chelmsford Disability Assessment Centre"
"Chesterfield Disability Assessment Centre","53.23","-1.42","5th Floor, Beetwell House, Beetwell Street, Chesterfield","S40 1TF","Privatisation, Welfare","Chesterfield Disability Assessment Centre"
"Colchester Disability Assessment Centre","51.89","0.90","Crown Office Buildings, Wellington Street, Colchester","CO2 7AZ","Privatisation, Welfare","Colchester Disability Assessment Centre"
"Derby Disability Assessment Centre","52.91","-1.48","Unit 7, Southgate Retail Park, Normanton Road, Derby","DE23 6UQ","Privatisation, Welfare","Derby Disability Assessment Centre"
"Ipswich Disability Assessment Centre","52.06","1.15","St Felix House, Silent Street, Ipswich, Suffolk","IP1 1TF","Privatisation, Welfare","Ipswich Disability Assessment Centre"
"Kings Lynn Disability Assessment Centre","52.75","0.40","Vancouver House, County Court Road, Kings Lynn","PE30 5EW","Privatisation, Welfare","Kings Lynn Disability Assessment Centre"
"Leicester Disability Assessment Centre","52.64","-1.13","1st Floor, Rutland Centre, Halford Street, Leicester","LE1 1TQ","Privatisation, Welfare","Leicester Disability Assessment Centre"
"Lincoln Disability Assessment Centre","53.22","-0.55","Viking House, 98 Newland, Lincoln","LN1 1XT","Privatisation, Welfare","Lincoln Disability Assessment Centre"
"Mansfield Disability Assessment Centre","53.14","-1.20","Jobcentre Plus, 4th Floor, Commercial Gate, Mansfield, Notts","NG18 1LN","Privatisation, Welfare","Mansfield Disability Assessment Centre"
"Northampton Disability Assessment Centre","52.25","-0.91","Gladstone Business Centre, Heathfield Way off Gladstone Road, Dallington, Northampton","NN5 7QA","Privatisation, Welfare","Northampton Disability Assessment Centre"
"Norwich Disability Assessment Centre","52.63","1.29","2nd Floor, St Marys House, Duke Street, Norwich, Norfolk","NR3 1QA","Privatisation, Welfare","Norwich Disability Assessment Centre"
"Nottingham Disability Assessment Centre","52.95","-1.14","Price House, 37 Stoney Street, Nottingham","NG1 1LS","Privatisation, Welfare","Nottingham Disability Assessment Centre"
"Balham Disability Assessment Centre","51.44","-0.15","Irene House, 218 Balham High Road, Balham, London","SW12 9BX","Privatisation, Welfare","Balham Disability Assessment Centre"
"Croydon Disability Assessment Centre","51.38","-0.09","1st Floor, Stephenson House, Cherry Orchard Road, Croydon, Surrey","CR0 6BA","Privatisation, Welfare","Croydon Disability Assessment Centre"
"Ealing Disability Assessment Centre","51.51","-0.32","3rd Floor, Broadway House, Uxbridge Road, Ealing, London","W13 8RA","Privatisation, Welfare","Ealing Disability Assessment Centre"
"Highgate Disability Assessment Centre","51.57","-0.13","1st Floor, 1 Elthorne Road, Upper Holloway, London","N19 4AL","Privatisation, Welfare","Highgate Disability Assessment Centre"
"Luton Disability Assessment Centre","51.88","-0.42","6th Floor, Cresta House, Alma Street, Luton, Bedfordshire","LU1 2PU","Privatisation, Welfare","Luton Disability Assessment Centre"
"Marleybone Disability Assessment Centre","51.52","-0.17","Tresco House, 65 Lisson Grove, Marylebone","NW1 6UH","Privatisation, Welfare","Marleybone Disability Assessment Centre"
"Neasden Disability Assessment Centre","51.55","-0.25","2nd Floor, Chancel House (Entrance B), Neasden Lane, Neasden, London","NW10 2TU","Privatisation, Welfare","Neasden Disability Assessment Centre"
"Romford Disability Assessment Centre","51.58","0.19","2nd Floor East, Blackburn House, 22-26 Eastern Road, Romford, Essex","RM1 3PJ","Privatisation, Welfare","Romford Disability Assessment Centre"
"Ministry of Defence","51.51","-0.13","Main Building, Whitehall, London","SW1A 2HB","Privatisation, Welfare","Ministry of Defence"
"United Kingdom Hydrographic Office","51.02","-3.08","Admiralty Way, Taunton Somerset","TA1 2DN","Privatisation, Welfare","United Kingdom Hydrographic Office"
"Ministry of Defence","51.51","-0.13","Main Building, Whitehall, London","SW1A 2HB","Privatisation, Defence","Ministry of Defence"
"United Kingdom Hydrographic Office","51.02","-3.08","Admiralty Way, Taunton Somerset","TA1 2DN","Privatisation, Defence","United Kingdom Hydrographic Office"
"Department of Health","51.50","-0.13","Richmond House, 79 Whitehall, London","SW1A 2NS","Privatisation, Healthcare","Department of Health"
"HM Revenue and Customs","51.53","-0.14","Euston Tower, 286 Euston Road, London","NW1 3UL","Privatisation","HM Revenue and Customs"
"Government Gateway","51.50","-0.13","10 Downing Street, London","SW1A 2AA","Privatisation, Welfare","Government Gateway"
"Skills Development Scotland","55.86","-4.26","Alhambra House, 45 Waterloo Street, Glasgow","G2 6HS","Privatisation, Welfare","Skills Development Scotland"
"Boston Disability Assessment Centre","52.98","-0.03","Crown Buildings, Lincoln Lane, Boston, Lincs","PE21 8SJ","Privatisation, Welfare","Boston Disability Assessment Centre"
"Cambridge Disability Assessment Centre","52.21","0.12","Henry Giles House, 1st Floor, 73-79 Chesterton Road, Cambridge","CB4 3BQ","Privatisation, Welfare","Cambridge Disability Assessment Centre"
"Chelmsford Disability Assessment Centre","51.73","0.45","Government Buildings, Beeches Road (main entrance), Chelmsford, Essex","CM1 2RT","Privatisation, Welfare","Chelmsford Disability Assessment Centre"
"Chesterfield Disability Assessment Centre","53.23","-1.42","5th Floor, Beetwell House, Beetwell Street, Chesterfield","S40 1TF","Privatisation, Welfare","Chesterfield Disability Assessment Centre"
"Colchester Disability Assessment Centre","51.89","0.90","Crown Office Buildings, Wellington Street, Colchester","CO2 7AZ","Privatisation, Welfare","Colchester Disability Assessment Centre"
"Derby Disability Assessment Centre","52.91","-1.48","Unit 7, Southgate Retail Park, Normanton Road, Derby","DE23 6UQ","Privatisation, Welfare","Derby Disability Assessment Centre"
"Ipswich Disability Assessment Centre","52.06","1.15","St Felix House, Silent Street, Ipswich, Suffolk","IP1 1TF","Privatisation, Welfare","Ipswich Disability Assessment Centre"
"Kings Lynn Disability Assessment Centre","52.75","0.40","Vancouver House, County Court Road, Kings Lynn","PE30 5EW","Privatisation, Welfare","Kings Lynn Disability Assessment Centre"
"Leicester Disability Assessment Centre","52.64","-1.13","1st Floor, Rutland Centre, Halford Street, Leicester","LE1 1TQ","Privatisation, Welfare","Leicester Disability Assessment Centre"
"Lincoln Disability Assessment Centre","53.22","-0.55","Viking House, 98 Newland, Lincoln","LN1 1XT","Privatisation, Welfare","Lincoln Disability Assessment Centre"
"Mansfield Disability Assessment Centre","53.14","-1.20","Jobcentre Plus, 4th Floor, Commercial Gate, Mansfield, Notts","NG18 1LN","Privatisation, Welfare","Mansfield Disability Assessment Centre"
"Northampton Disability Assessment Centre","52.25","-0.91","Gladstone Business Centre, Heathfield Way off Gladstone Road, Dallington, Northampton","NN5 7QA","Privatisation, Welfare","Northampton Disability Assessment Centre"
"Ministry of Defence","51.51","-0.13","Main Building, Whitehall, London","SW1A 2HB","Privatisation, Defence","Ministry of Defence"
"United Kingdom Hydrographic Office","51.02","-3.08","Admiralty Way, Taunton Somerset","TA1 2DN","Privatisation, Defence","United Kingdom Hydrographic Office"
"Department of Health","51.50","-0.13","Richmond House, 79 Whitehall, London","SW1A 2NS","Privatisation, Healthcare","Department of Health"
"HM Revenue and Customs","51.53","-0.14","Euston Tower, 286 Euston Road, London","NW1 3UL","Privatisation","HM Revenue and Customs"
"Government Gateway","51.50","-0.13","10 Downing Street, London","SW1A 2AA","Privatisation, Welfare","Government Gateway"
"Skills Development Scotland","55.86","-4.26","Alhambra House, 45 Waterloo Street, Glasgow","G2 6HS","Privatisation, Welfare","Skills Development Scotland"
"Boston Disability Assessment Centre","52.98","-0.03","Crown Buildings, Lincoln Lane, Boston, Lincs","PE21 8SJ","Privatisation, Welfare","Boston Disability Assessment Centre"
"Cambridge Disability Assessment Centre","52.21","0.12","Henry Giles House, 1st Floor, 73-79 Chesterton Road, Cambridge","CB4 3BQ","Privatisation, Welfare","Cambridge Disability Assessment Centre"
"Chelmsford Disability Assessment Centre","51.73","0.45","Government Buildings, Beeches Road (main entrance), Chelmsford, Essex","CM1 2RT","Privatisation, Welfare","Chelmsford Disability Assessment Centre"
"Chesterfield Disability Assessment Centre","53.23","-1.42","5th Floor, Beetwell House, Beetwell Street, Chesterfield","S40 1TF","Privatisation, Welfare","Chesterfield Disability Assessment Centre"
"Colchester Disability Assessment Centre","51.89","0.90","Crown Office Buildings, Wellington Street, Colchester","CO2 7AZ","Privatisation, Welfare","Colchester Disability Assessment Centre"
"Derby Disability Assessment Centre","52.91","-1.48","Unit 7, Southgate Retail Park, Normanton Road, Derby","DE23 6UQ","Privatisation, Welfare","Derby Disability Assessment Centre"
"Northampton Disability Assessment Centre","52.25","-0.91","Gladstone Business Centre, Heathfield Way off Gladstone Road, Dallington, Northampton","NN5 7QA","Privatisation, Welfare","Northampton Disability Assessment Centre"
"Norwich Disability Assessment Centre","52.63","1.29","2nd Floor, St Marys House, Duke Street, Norwich, Norfolk","NR3 1QA","Privatisation, Welfare","Norwich Disability Assessment Centre"
"Nottingham Disability Assessment Centre","52.95","-1.14","Price House, 37 Stoney Street, Nottingham","NG1 1LS","Privatisation, Welfare","Nottingham Disability Assessment Centre"
"Head Office","51.53","-0.14","4 Triton Square, Regent's Place, London","NW1 3HG","Privatisation","Head Office"
"Bodmin NHS Treatment Centre","50.47","-4.74","Boundary Road, Bodmin, Cornwall","PL31 2QT","Privatisation, Healthcare","Bodmin NHS Treatment Centre"
"Fylde Coast NHS Treatment Centre","53.83","-3.02","St. Walburgas Road, Blackpool, Lancashire","FY3 8BP","Privatisation, Healthcare","Fylde Coast NHS Treatment Centre"
"Horton NHS Treatment Centre","52.05","-1.33","Oxford Road, Banbury, Oxfordshire","OX16 9FG","Privatisation, Healthcare","Horton NHS Treatment Centre"
"Kendal NHS Treatment Centre","54.31","-2.73","Westmorland General Hospital, Burton Road, Kendal, Cumbria","LA9 7RG","Privatisation, Healthcare","Kendal NHS Treatment Centre"
"New Hall NHS Treatment Centre","51.03","-1.76","Bodenham, Salisbury, Wiltshire","SP5 4EY","Privatisation, Healthcare","New Hall NHS Treatment Centre"
"Reading NHS Treatment Centre","51.44","-0.99","Swallowscroft, Wensley Road, Reading, Berkshire","RG1 6UZ","Privatisation, Healthcare","Reading NHS Treatment Centre"
"Caldew NHS Outpatient Centre","54.89","-2.95","64 Dalston Road, Carlisle, Cumbria","CA2 5NW","Privatisation, Healthcare","Caldew NHS Outpatient Centre"
"Head Office","51.53","-0.14","4 Triton Square, Regent's Place, London","NW1 3HG","Privatisation","Head Office"
"Bodmin NHS Treatment Centre","50.47","-4.74","Boundary Road, Bodmin, Cornwall","PL31 2QT","Privatisation, Healthcare","Bodmin NHS Treatment Centre"
"Fylde Coast NHS Treatment Centre","53.83","-3.02","St. Walburgas Road, Blackpool, Lancashire","FY3 8BP","Privatisation, Healthcare","Fylde Coast NHS Treatment Centre"
"Horton NHS Treatment Centre","52.05","-1.33","Oxford Road, Banbury, Oxfordshire","OX16 9FG","Privatisation, Healthcare","Horton NHS Treatment Centre"
"Kendal NHS Treatment Centre","54.31","-2.73","Westmorland General Hospital, Burton Road, Kendal, Cumbria","LA9 7RG","Privatisation, Healthcare","Kendal NHS Treatment Centre"
"New Hall NHS Treatment Centre","51.03","-1.76","Bodenham, Salisbury, Wiltshire","SP5 4EY","Privatisation, Healthcare","New Hall NHS Treatment Centre"
"Reading NHS Treatment Centre","51.44","-0.99","Swallowscroft, Wensley Road, Reading, Berkshire","RG1 6UZ","Privatisation, Healthcare","Reading NHS Treatment Centre"
"Caldew NHS Outpatient Centre","54.89","-2.95","64 Dalston Road, Carlisle, Cumbria","CA2 5NW","Privatisation, Healthcare","Caldew NHS Outpatient Centre"
"Ark Academy","51.57","-0.28","Forty Avenue, Brent, London, Middlesex","HA9 9JR","","Ark Academy"
"ARK Atwood Primary Academy","51.53","-0.21","ARK Atwood Primary Academy, 17-23 Third Avenue, Westminster, London","W10 4RS","","ARK Atwood Primary Academy"
"ARK Globe Academy","51.50","-0.09","Harper Road, Southwark, London","SE1 6AF","","ARK Globe Academy"
"ARK Kings Academy","52.40","-1.93","Shannon Road, Kings Norton, Birmingham","B38 9DE","","ARK Kings Academy"
"ARK Oval Primary Academy","51.38","-0.09","98 Cherry Orchard Road, Croydon, London","CR0 6BA","","ARK Oval Primary Academy"
"ARK Putney Academy","51.45","-0.23","Pullman Gardens, Wandsworth, London","SW15 3DG","","ARK Putney Academy"
"ARK Rose Primary Academy","52.40","-1.93","Tess Grove, Kings Norton, Birmingham","B38 9DH","","ARK Rose Primary Academy"
"ARK Tindal Primary Academy","52.46","-1.89","Tindal Street, Balsall Heath, Birmingham","B12 9QS","","ARK Tindal Primary Academy"
"Burlington Danes Academy","51.52","-0.23","Wood Lane, Hammersmith and Fulham, London","W12 0HR","","Burlington Danes Academy"
"Charter Academy","50.80","-1.09","Hyde Park Road, Southsea, Portsmouth","PO5 4HL","","Charter Academy"
"Evelyn Grace Academy","51.46","-0.10","255 Shakespeare Road, Lambeth, London","SE24 0QN","","Evelyn Grace Academy"
"King Solomon Academy","51.52","-0.17","Penfold Street, Westminster, London","NW1 6RX","","King Solomon Academy"
"Head Office","51.53","-0.14","4 Triton Square, Regent's Place, London","NW1 3HG","Privatisation","Head Office"
"Advanced Composites Group","53.01","-1.37","Composites House, Sinclair Close, Heanor Gate Industrial Estate, Heanor, Derbyshire, DE75 7SP, United Kingdom","1","","Advanced Composites Group"
"Aerco Ltd","51.07","-0.37","17 Lawson Hunt Industrial Park, Broadbridge Heath, Horsham, West Sussex, RH12 3JR, United Kingdom","2","","Aerco Ltd"
"Aero Sekur Ltd","51.29","-0.76","Fowler Avenue, The Hub, Farnborough Business Park, Farnborough, GU14 7JF, United Kingdom","3","","Aero Sekur Ltd"
"Aero Tec Laboratories Ltd","52.04","-0.78","1 Patriot Drive, Rooksley, Milton Keynes, Buckinghamshire, MK13 8PU, United Kingdom","4","","Aero Tec Laboratories Ltd"
"Aeronautical & General Instruments Ltd","50.73","-1.99","Fleets Point, Willis Way, Poole, Dorset, BH15 3SS, United Kingdom","5","","Aeronautical & General Instruments Ltd"
"AgustaWestland","51.28","-0.76","25 Templer Avenue, Farnborough Business Park, Farnborough, Hampshire, GU14 6FE, United Kingdom","6","","AgustaWestland"
"Air & Marine Products Ltd","51.45","-0.91","Unit 3, Parkside Business Park, 15 Headley Road, Woodley, Reading, Berkshire, RG5 4JB, United Kingdom","7","","Air & Marine Products Ltd"
"Allison Transmission","52.04","-0.53","Millbrook Proving Ground, Millbrook, Bedford, Bedfordshire, MK45 2JQ, United Kingdom","8","","Allison Transmission"
"Purston E-ACT Academy","53.68","-1.34","Pontefract Road, Featherstone","WF7 5AJ","Privatisation, Education","Purston E-ACT Academy"
"Reedswood E-ACT Primary Academy","52.59","-2.00","Bentley Drive , Walsall , West Midlands","WS2 8RX","Privatisation, Education","Reedswood E-ACT Primary Academy"
"Shenley Academy","52.43","-1.98","Shenley Lane, , Birmingham","B29 4HE","Privatisation, Education","Shenley Academy"
"Sherwood E-ACT Academy","52.98","-1.09","Wollaton Avenue, Gedling, Nottingham","NG4 4HX","Privatisation, Education","Sherwood E-ACT Academy"
"St Ursula's E-ACT Academy","51.49","-2.61","Brecon Road, Westbury on Trym, Bristol","BS9 4DT","Privatisation, Education","St Ursula's E-ACT Academy"
"The E-ACT Blackley Academy","53.53","-2.21","Victoria Avenue, Blackley, Manchester","M9 0RD","Privatisation, Education","The E-ACT Blackley Academy"
"The Oldham Academy North","53.54","-2.12","Rochdale Road, , Oldham","OL9 6DY","Privatisation, Education","The Oldham Academy North"
"The Winsford E-ACT Academy","53.20","-2.54","Grange Lane, Winsford, Cheshire","CW7 2BT","Privatisation, Education","The Winsford E-ACT Academy"
"Trent Valley Academy","53.41","-0.76","Sweyn Lane, Gainsborough, Lincolnshire","DN21 1PB","Privatisation, Education","Trent Valley Academy"
"West Walsall E-ACT Academy","52.58","-2.01","Primley Avenue, Walsall","WS2 9UA","Privatisation, Education","West Walsall E-ACT Academy"
"Willenhall E-ACT Academy","52.60","-2.03","Furzebank Way, Willenhall","WV12 4BD","Privatisation, Education","Willenhall E-ACT Academy"
"Ashingdon Primary Academy","51.61","0.68","Fambridge Road,, Ashingdon,, Essex","SS4 3LN","Privatisation, Education","Ashingdon Primary Academy"
"Aylward Academy","51.62","-0.08","Windmill Road, Edmonton, London","N18 1NB","Privatisation, Education","Aylward Academy"
"Barton Hill Academy","50.49","-3.54","Barton Hill Road, Torquay, Devon","TQ2 8JA","Privatisation, Education","Barton Hill Academy"
"Bexleyheath Academy","51.46","0.14","Woolwich Road, Bexleyheath, Kent","DA6 7DA","Privatisation, Education","Bexleyheath Academy"
"Brockworth Primary Academy","51.85","-2.16","Moorfield Road, Brockworth","GL3 4JL","Privatisation, Education","Brockworth Primary Academy"
"Charles Warren Academy","52.02","-0.72","Old Groveway, Simpson, Milton Keynes, Buckinghamshire","MK6 3AZ","Privatisation, Education","Charles Warren Academy"
"Childwall Sports and Science Academy","53.40","-2.90","Fiveways, Queens Drive, Liverpool","L15 6XZ","Privatisation, Education","Childwall Sports and Science Academy"
"Clacton Coastal Academy","51.80","1.14","Town Campus, Pathfields Road, Clacton-on-Sea, Essex, CO15 3JL","CO15 3JL","Privatisation, Education","Clacton Coastal Academy"
"East Point Academy","52.47","1.73","Lowestoft, Suffolk","NR33 0UQ","Privatisation, Education","East Point Academy"
"Eston Park Academy","54.57","-1.16","Burns Road, Eston, Middlesbrough","TS6 9AW","Privatisation, Education","Eston Park Academy"
"Everest Community Academy","51.29","-1.10","Oxford Way, Basingstoke, Hampshire","RG24 9UP","Privatisation, Education","Everest Community Academy"
"Felixstowe Academy","51.96","1.34","Garrison Lane, Felixstowe, Suffolk","IP11 7RF","Privatisation, Education","Felixstowe Academy"
"Gillbrook Academy","54.57","-1.16","Normanby Road, Middlesbrough, Cleveland","TS6 9AG","Privatisation, Education","Gillbrook Academy"
"Greensward Academy","51.61","0.67","Greensward Lane, Hockley, Essex","SS5 5HG","Privatisation, Education","Greensward Academy"
"Hall Road Academy","53.77","-0.38","Hall Road, Hull","HU6 8PP","Privatisation, Education","Hall Road Academy"
"Hamford Primary Academy","51.85","1.25","Elm Tree Avenue, Walton on the Naze, Essex","CO14 8TE","Privatisation, Education","Hamford Primary Academy"
"Langer Primary Academy","51.95","1.34","Langer Road, Felixstowe, Suffolk","IP11 2HL","Privatisation, Education","Langer Primary Academy"
"Maltings Academy","51.80","0.63","Spinks Lane, Witham, Essex","CM8 1EP","Privatisation, Education","Maltings Academy"
"Millbrook Academy","51.85","-2.15","Mill Lane, Brockworth, Gloucester","GL3 4QF","Privatisation, Education","Millbrook Academy"
"Molehill Copse Primary Academy","51.25","0.54","Hereford Road, Maidstone, Kent","ME15 7ND","Privatisation, Education","Molehill Copse Primary Academy"
"New Forest Academy","50.84","-1.39","Long Lane, Holbury, Hampshire","SO45 2PA","Privatisation, Education","New Forest Academy"
"New Rickstones Academy","51.82","0.64","Conrad Road, Witham, Essex","CM8 2SD","Privatisation, Education","New Rickstones Academy"
"Newington Academy","53.73","-0.38","Dairycoates Avenue, Hull","HU3 5DD","Privatisation, Education","Newington Academy"
"Nightingale Academy","51.63","-0.05","Turin Road, Edmonton, London","N9 8DQ","Privatisation, Education","Nightingale Academy"
"Noel Park Primary School","51.60","-0.10","Gladstone Avenue, Wood Green, London","N22 6LH","Privatisation, Education","Noel Park Primary School"
"Oaks Academy","51.25","0.54","Oak Tree Avenue, Maidstone, Kent","ME15 9AX","Privatisation, Education","Oaks Academy"
"Offa's Mead Academy","51.64","-2.66","Beachley Road, Sedbury, Chepstow","NP16 7DT","Privatisation, Education","Offa's Mead Academy"
"Percy Shurmer Academy","52.46","-1.89","Longmore Street, Balsall Heath, Birmingham","B12 9ED","Privatisation, Education","Percy Shurmer Academy"
"Pioneer School","51.58","0.46","Ghyllgrove,, Basildon,, Essex","SS14 2LA","Privatisation, Education","Pioneer School"
"Plumberow Primary Academy","51.61","0.66","Hamilton Gardens, Hockley, Essex","SS5 5BX","Privatisation, Education","Plumberow Primary Academy"
"Richmond Park Academy","51.46","-0.26","Park Avenue, London","SW14 8RG","Privatisation, Education","Richmond Park Academy"
"Ryde Academy","50.72","-1.17","Pell Lane, Ryde, Isle of Wight","PO33 3LN","Privatisation, Education","Ryde Academy"
"Sandown Bay Academy","50.66","-1.17","The Fairway, Sandown, Isle of Wight","PO36 9JH","Privatisation, Education","Sandown Bay Academy"
"Severn View Primary Academy","51.74","-2.20","Bisley Old Road, Stroud, Gloucestershire","GL5 1NL","Privatisation, Education","Severn View Primary Academy"
"Sir Herbert Leon Academy","51.98","-0.73","Fern Grove, Bletchley, Milton Keynes","MK2 3HQ","Privatisation, Education","Sir Herbert Leon Academy"
"St James the Great Academy","51.29","0.43","Chapman Way, East Malling","ME19 6SD","Privatisation, Education","St James the Great Academy"
"Tamworth Enterprise College","52.61","-1.67","Birds Bush Road, Belgrave Tamworth, Staffs","B77 2NE","Privatisation, Education","Tamworth Enterprise College"
"Tendring Enterprise Studio School","51.79","1.12","Jaywick Lane, Clacton-on-Sea, Essex","CO16 8BE","Privatisation, Education","Tendring Enterprise Studio School"
"The Duston School","52.25","-0.96","Berrywood Road, Duston, Northamptonshire, England","NN5 6XA","Privatisation, Education","The Duston School"
"The Green Way Academy","53.78","-0.37","21st Avenue, Hull, East Riding of Yorkshire","HU6 8HD","Privatisation, Education","The Green Way Academy"
"The Rawlett School","52.65","-1.70","Comberford Road, Tamworth, Staffordshire","B79 9AA","Privatisation, Education","The Rawlett School"
"The Ridge Academy","51.90","-2.05","Clyde Crescent, Cheltenham","GL52 5QH","Privatisation, Education","The Ridge Academy"
"Tree Tops Academy","51.24","0.56","Brishing Lane, Maidstone, Kent","ME15 9EZ","Privatisation, Education","Tree Tops Academy"
"Trinity Primary Academy","51.60","-0.12","Bounds Green Road, Wood Green, London","N22 8ES","Privatisation, Education","Trinity Primary Academy"
"Unity City Academy","54.56","-1.20","Ormesby Road, Middlesbrough, Cleveland","TS3 8RE","Privatisation, Education","Unity City Academy"
"Westerings Primary Academy","51.60","0.66","Sunny Road, Hockley","SS5 4NZ","Privatisation, Education","Westerings Primary Academy"
"Weston Academy","50.68","-1.54","Weston Road, Totland, Isle of Wight","PO39 0HA","Privatisation, Education","Weston Academy"
"Wishmore Cross Academy","51.35","-0.60","Alpha Road, Chobham, Woking, Surrey","GU24 8NE","Privatisation, Education","Wishmore Cross Academy"
"Aldborough E-ACT Free School","51.57","0.10","Aldborough Road South, Redbridge","IG3 8HZ","Privatisation, Education","Aldborough E-ACT Free School"
"Burnham Park E-ACT Academy","51.53","-0.66","Opendale Road, Burnham, Bucks","SL1 7LZ","Privatisation, Education","Burnham Park E-ACT Academy"
"Chalfont Valley E-ACT Primary Academy","51.67","-0.57","Bell Lane, Little Chalfont, Buckinghamshire","HP6 6PF","Privatisation, Education","Chalfont Valley E-ACT Primary Academy"
"Crest Boys and Girls Academies","51.56","-0.24","Crest Road, Neasden","NW2 7SN","Privatisation, Education","Crest Boys and Girls Academies"
"Danetre and Southbrook Learning Village","52.26","-1.15","Hawke Road, Daventry, Northants","NN11 4LJ","Privatisation, Education","Danetre and Southbrook Learning Village"
"Dartmouth Academy","50.35","-3.60","Milton Lane, Dartmouth, Devon","TQ6 9HW","Privatisation, Education","Dartmouth Academy"
"E-ACT Leeds East Academy","53.82","-1.48","South Parkway, Seacroft, Leeds","LS14 6TY","Privatisation, Education","E-ACT Leeds East Academy"
"Forest E-ACT Academy","51.83","-2.49","Causeway Road, Cinderford, Gloucestershire","GL14 2AZ","Privatisation, Education","Forest E-ACT Academy"
"Greenfield E-ACT Primary Academy","53.54","-2.01","Shaw Street, Greenfield, Oldham","OL3 7AA","Privatisation, Education","Greenfield E-ACT Primary Academy"
"Shaw Street Greenfield Oldham","51.59","-0.07","Town Hall Approach Road, Tottenham, London","N15 4RX","Privatisation, Education","Shaw Street Greenfield Oldham"
"Heartlands Academy","52.49","-1.87","Great Francis Street, Birmingham, West Midlands","B7 4QR","Privatisation, Education","Heartlands Academy"
"Ilminster Avenue E-ACT Academy","51.43","-2.58","Knowle West , Bristol","BS4 1BX","Privatisation, Education","Ilminster Avenue E-ACT Academy"
"Leeds West Academy","53.81","-1.65","Intake Lane, Rodley","LS13 1DQ","Privatisation, Education","Leeds West Academy"
"Nechells E-ACT Primary Academy","52.50","-1.86","Eliot Street , Nechells, Birmingham","B7 5LB","Privatisation, Education","Nechells E-ACT Primary Academy"
"North Birmingham Academy","52.53","-1.88","395 College Road, Erdington, Birmingham","B44 0HF","Privatisation, Education","North Birmingham Academy"
"The Parker E-ACT Academy","52.26","-1.16","William Parker School, Ashby Road, Daventry, Northamptonshire","NN11 0QF","Privatisation, Education","The Parker E-ACT Academy"
"Parkwood Academy","53.41","-1.48","Longley Avenue West, Sheffield","S5 8UL","Privatisation, Education","Parkwood Academy"
"RAF Fylingdales","54.36","-0.67","Pickering, North Yorkshire","YO18 7NT","Privatisation, Defence","RAF Fylingdales"
"RAF Menwith Hill","54.02","-1.69","Harrogate,, North Yorkshire","HG3 2RF","Privatisation, Defence","RAF Menwith Hill"
